page_url,page_views,session_duration,bounce_rate,device_type,browser,operating_system,traffic_status
ErrorPageUrl,7951,650,0.22,3,3,2,0
ErrorPageUrl,4978,449,0.16,2,1,1,1
ErrorPageUrl,3027,446,0.84,2,4,3,1
ContactorSupportUrl,7354,469,0.91,1,4,2,0
LoginUrl,5785,27,0.43,2,3,4,0
LoginUrl,5792,974,0.68,2,1,1,0
ProductUrl,7251,559,0.57,1,3,3,0
ContactorSupportUrl,2109,615,0.34,3,4,1,1
HomePageUrl,3005,486,0.62,2,2,4,1
HomePageUrl,2517,875,0.98,2,1,2,1
LoginUrl,7361,826,0.97,1,1,1,0
LoginUrl,2951,74,0.3,2,4,1,1
ContactorSupportUrl,5021,587,0.48,2,1,3,0
SubpageUrl,8634,634,0.98,2,3,1,0
ContactorSupportUrl,4985,970,0.97,3,2,2,0
ProductUrl,1783,796,0.47,1,1,1,1
ContactorSupportUrl,3095,933,0.94,3,1,1,1
ProductUrl,9970,711,0.22,1,1,4,0
HomePageUrl,9851,879,0.69,3,1,1,0
HomePageUrl,7567,22,0.71,3,4,2,0
HomePageUrl,7605,680,0.65,1,2,4,0
ErrorPageUrl,7456,952,0.79,1,2,1,0
ErrorPageUrl,8258,519,0.85,3,1,3,0
ErrorPageUrl,126,37,0.71,1,4,4,1
ErrorPageUrl,3381,404,0.9,1,4,4,1
LoginUrl,9450,225,0.81,2,1,2,0
ErrorPageUrl,6456,889,0.89,1,2,4,0
ProductUrl,4695,37,0.44,2,3,3,1
ErrorPageUrl,136,483,0.51,1,2,1,1
ErrorPageUrl,8296,376,0.49,1,2,1,0
HomePageUrl,9167,879,0.58,1,4,4,0
HomePageUrl,6400,378,0.24,1,1,3,0
SubpageUrl,46,639,0.69,1,1,2,1
HomePageUrl,4476,873,0.47,2,3,1,1
ErrorPageUrl,8739,490,0.21,3,4,3,0
SubpageUrl,6166,681,0.8,3,2,4,0
LoginUrl,3425,511,0.37,3,4,3,1
ContactorSupportUrl,4752,38,0.83,2,1,2,1
ProductUrl,2187,813,0.7,1,2,2,1
ErrorPageUrl,467,649,0.62,1,3,4,1
ErrorPageUrl,9344,393,0.88,2,4,1,0
HomePageUrl,8892,940,0.17,1,1,3,0
ProductUrl,453,668,0.18,2,3,1,1
ErrorPageUrl,9452,963,0.99,1,1,1,0
SubpageUrl,464,22,0.34,3,2,2,1
ContactorSupportUrl,1249,194,0.43,3,2,4,1
LoginUrl,6987,855,0.93,1,3,1,0
SubpageUrl,6484,904,0.2,1,3,2,0
ContactorSupportUrl,7228,205,0.23,2,2,1,0
HomePageUrl,2871,695,0.5,1,3,2,1
LoginUrl,2976,938,0.79,1,3,4,1
ContactorSupportUrl,859,119,0.55,1,1,2,1
LoginUrl,2179,209,0.29,1,2,3,1
ContactorSupportUrl,6173,592,0.87,2,4,4,0
HomePageUrl,9060,961,0.3,3,4,1,0
LoginUrl,2314,480,0.9,2,3,2,1
HomePageUrl,7167,307,0.79,3,3,2,0
LoginUrl,3669,537,0.4,3,1,3,1
LoginUrl,164,234,0.32,1,1,3,1
ProductUrl,6563,386,0.15,1,3,3,0
HomePageUrl,3492,755,0.63,2,3,4,1
ContactorSupportUrl,2172,819,0.27,1,4,4,1
SubpageUrl,9022,638,0.79,1,4,2,0
LoginUrl,943,804,0.31,1,4,1,1
SubpageUrl,9841,957,0.28,3,4,1,0
SubpageUrl,9281,192,0.9,1,1,3,0
ProductUrl,7077,868,0.79,2,4,3,0
HomePageUrl,2126,524,0.87,2,3,2,1
ProductUrl,4439,47,0.26,2,1,2,1
HomePageUrl,7852,930,0.46,1,3,1,0
ErrorPageUrl,1501,529,0.31,2,4,1,1
HomePageUrl,9476,229,0.16,1,3,1,0
ProductUrl,3644,20,0.61,1,3,4,1
SubpageUrl,2138,936,0.81,3,3,2,1
HomePageUrl,9471,267,0.91,1,4,2,0
ErrorPageUrl,6115,905,0.28,2,4,4,0
SubpageUrl,9689,655,0.12,1,1,4,0
LoginUrl,3040,448,0.18,1,3,2,1
ContactorSupportUrl,8137,33,0.84,2,2,3,0
ContactorSupportUrl,4795,131,0.97,3,1,4,1
ContactorSupportUrl,4966,834,0.45,1,2,1,0
LoginUrl,4291,150,0.1,1,4,4,1
ErrorPageUrl,1565,916,0.55,2,3,1,1
SubpageUrl,8494,776,0.48,3,3,1,0
ContactorSupportUrl,4302,555,0.4,1,3,2,1
HomePageUrl,8223,237,0.71,1,2,2,0
HomePageUrl,126,776,0.57,1,2,3,1
ContactorSupportUrl,7407,885,0.79,3,2,1,0
SubpageUrl,4018,241,0.61,1,3,1,1
LoginUrl,9646,254,0.12,1,2,4,0
ContactorSupportUrl,9341,988,0.97,3,1,3,0
ErrorPageUrl,6311,831,0.88,1,2,4,0
LoginUrl,5705,119,0.54,2,2,4,0
LoginUrl,3412,39,0.46,1,1,1,1
ProductUrl,4059,995,0.26,2,3,3,1
ErrorPageUrl,5451,821,0.84,3,1,3,0
ContactorSupportUrl,7100,809,0.23,1,3,1,0
ErrorPageUrl,4435,472,0.97,1,1,3,1
LoginUrl,6131,843,0.77,3,4,2,0
LoginUrl,3619,47,0.17,1,4,2,1
SubpageUrl,9059,957,0.31,3,2,2,0
HomePageUrl,3207,376,0.75,2,2,4,1
HomePageUrl,6422,569,0.42,3,2,3,0
LoginUrl,6185,184,0.53,2,3,2,0
HomePageUrl,8725,916,0.14,1,2,2,0
ErrorPageUrl,2606,304,0.53,3,4,4,1
ProductUrl,2573,375,0.55,2,4,3,1
LoginUrl,5377,392,0.89,2,4,3,0
ErrorPageUrl,4266,123,0.26,2,3,3,1
ProductUrl,1700,569,0.67,2,3,3,1
LoginUrl,7710,853,0.46,2,2,1,0
SubpageUrl,9458,282,0.84,2,1,3,0
ContactorSupportUrl,5332,170,0.21,2,2,2,0
ContactorSupportUrl,6865,658,0.56,2,4,4,0
SubpageUrl,2784,29,0.85,2,3,2,1
ContactorSupportUrl,117,193,0.39,1,3,4,1
HomePageUrl,5016,14,0.47,1,1,2,1
ErrorPageUrl,100,277,0.6,3,4,1,1
SubpageUrl,2011,12,0.98,2,3,4,1
SubpageUrl,7859,625,0.44,2,4,2,0
SubpageUrl,3984,742,0.37,1,1,1,1
ProductUrl,7217,39,0.56,1,1,2,0
ProductUrl,3946,536,0.57,2,4,2,1
SubpageUrl,4840,615,0.58,1,2,4,1
ErrorPageUrl,9627,845,0.6,2,3,4,0
LoginUrl,703,993,0.51,1,3,2,1
ContactorSupportUrl,7049,462,0.54,2,3,3,0
SubpageUrl,2023,951,0.16,3,3,1,1
ProductUrl,6797,234,0.14,1,4,2,0
SubpageUrl,3984,41,0.1,3,4,4,1
ErrorPageUrl,733,66,0.97,1,2,2,1
ContactorSupportUrl,9791,702,0.9,3,2,2,0
SubpageUrl,7895,597,0.87,1,2,1,0
ErrorPageUrl,7916,117,0.16,2,2,4,0
LoginUrl,4142,948,0.92,2,1,1,1
HomePageUrl,2114,228,0.45,3,1,4,1
ContactorSupportUrl,3143,376,0.28,3,1,3,1
ProductUrl,9808,955,0.51,2,1,1,0
SubpageUrl,7844,585,0.5,3,1,2,0
SubpageUrl,4429,514,0.72,1,1,4,1
ProductUrl,630,15,0.41,3,4,4,1
LoginUrl,4796,871,0.51,1,3,2,0
SubpageUrl,5711,113,0.8,2,2,4,0
SubpageUrl,4700,772,0.58,2,2,1,1
ProductUrl,7371,704,0.17,1,3,3,0
LoginUrl,2916,992,0.91,1,3,1,1
HomePageUrl,1663,354,0.35,3,4,2,1
ContactorSupportUrl,5676,30,0.59,1,3,2,0
ProductUrl,4000,990,0.93,2,4,1,1
ContactorSupportUrl,2422,449,0.24,3,4,2,1
ErrorPageUrl,985,913,0.55,3,4,2,1
HomePageUrl,4517,334,0.27,1,3,4,1
LoginUrl,3810,640,0.49,1,2,3,1
SubpageUrl,6984,779,0.69,2,1,2,0
ContactorSupportUrl,3106,547,0.56,3,1,2,1
ErrorPageUrl,120,133,0.2,3,2,3,1
LoginUrl,1488,504,0.19,1,4,2,1
LoginUrl,7084,258,0.73,1,1,3,0
HomePageUrl,7787,636,0.25,1,3,2,0
HomePageUrl,8196,219,0.21,3,3,4,0
ProductUrl,5153,639,0.42,3,3,1,0
ContactorSupportUrl,59,903,0.48,3,1,1,1
ContactorSupportUrl,529,942,0.68,3,4,4,1
ErrorPageUrl,5971,500,0.4,2,3,4,0
ErrorPageUrl,9176,644,0.74,1,3,2,0
LoginUrl,6303,329,0.41,2,1,4,0
ContactorSupportUrl,5123,263,0.57,2,4,4,1
LoginUrl,4555,703,0.64,3,1,2,1
HomePageUrl,2565,121,0.84,3,2,3,1
HomePageUrl,9125,44,0.29,1,4,2,0
LoginUrl,5790,920,0.16,2,4,3,0
ContactorSupportUrl,1321,70,0.22,3,3,1,1
ErrorPageUrl,2006,191,0.68,2,4,1,1
SubpageUrl,1833,823,0.65,1,4,2,1
ErrorPageUrl,5474,650,0.27,2,3,4,0
ProductUrl,168,159,0.45,1,1,1,1
LoginUrl,2770,558,0.91,2,1,1,1
ErrorPageUrl,7542,831,0.26,1,4,3,0
ContactorSupportUrl,7465,296,0.96,2,1,4,0
ContactorSupportUrl,3955,505,0.62,2,1,3,1
HomePageUrl,3942,773,0.8,2,4,1,1
ContactorSupportUrl,9496,203,0.28,2,1,2,0
ErrorPageUrl,231,382,0.67,1,4,2,1
HomePageUrl,8769,727,0.58,1,3,3,0
ProductUrl,8233,568,0.21,2,1,1,0
SubpageUrl,2134,215,0.34,2,2,1,1
SubpageUrl,9977,963,0.25,3,1,3,0
LoginUrl,1174,760,0.55,2,3,3,1
HomePageUrl,2042,858,0.2,2,3,2,1
HomePageUrl,7781,923,0.69,1,3,1,0
HomePageUrl,9180,132,0.96,3,3,3,0
HomePageUrl,8209,225,0.45,3,4,1,0
SubpageUrl,5168,812,0.47,2,1,2,0
SubpageUrl,5553,647,0.11,1,1,4,0
ContactorSupportUrl,9647,130,0.67,1,4,4,0
ProductUrl,6178,477,0.54,1,1,3,0
ContactorSupportUrl,75,707,0.33,2,2,3,1
SubpageUrl,6931,594,0.66,2,4,4,0
LoginUrl,6652,693,0.46,1,4,3,0
HomePageUrl,7535,78,0.25,2,2,3,0
LoginUrl,4562,125,0.36,1,3,2,1
ContactorSupportUrl,7318,206,0.2,2,2,4,0
HomePageUrl,2102,869,0.79,2,4,4,1
SubpageUrl,4815,569,0.29,2,3,2,1
ErrorPageUrl,7583,612,0.81,2,2,4,0
LoginUrl,5767,70,0.55,3,4,2,0
ErrorPageUrl,2847,398,0.94,3,4,2,1
ProductUrl,9022,351,0.45,1,1,2,0
LoginUrl,9294,866,0.54,3,4,3,0
ContactorSupportUrl,8408,601,0.7,1,3,4,0
ProductUrl,302,279,0.41,1,2,2,1
LoginUrl,1912,621,0.31,1,4,2,1
ErrorPageUrl,15,804,0.94,3,4,1,1
ErrorPageUrl,2804,981,0.98,1,2,1,1
ProductUrl,4974,395,0.64,2,4,4,1
ContactorSupportUrl,1511,740,0.36,3,1,2,1
SubpageUrl,2856,908,0.62,1,3,4,1
ProductUrl,278,615,0.67,2,1,1,1
ErrorPageUrl,188,801,0.4,3,4,1,1
SubpageUrl,6806,740,0.7,3,3,3,0
ProductUrl,7325,842,0.24,3,1,1,0
ErrorPageUrl,1428,703,0.45,2,4,1,1
ErrorPageUrl,2306,183,0.29,2,4,2,1
ErrorPageUrl,3306,444,0.12,1,1,2,1
SubpageUrl,1887,597,0.7,1,1,1,1
LoginUrl,4515,424,0.55,1,2,4,1
HomePageUrl,693,490,0.23,1,1,2,1
ErrorPageUrl,7313,221,0.72,2,3,3,0
LoginUrl,591,128,0.39,2,1,2,1
SubpageUrl,7449,427,0.47,1,1,4,0
LoginUrl,6728,220,0.26,1,3,3,0
ProductUrl,7452,139,0.86,1,3,2,0
HomePageUrl,284,480,0.54,3,4,3,1
HomePageUrl,3506,249,0.98,3,3,3,1
LoginUrl,898,584,0.43,1,2,2,1
HomePageUrl,1,291,0.86,2,4,1,1
SubpageUrl,5483,729,0.65,3,3,1,0
HomePageUrl,1864,126,0.25,3,1,4,1
ProductUrl,5330,382,0.76,2,3,4,0
SubpageUrl,7228,806,0.83,1,2,2,0
ErrorPageUrl,8813,896,0.1,3,1,3,0
SubpageUrl,6293,645,0.61,3,3,3,0
ProductUrl,4534,190,0.75,2,1,4,1
LoginUrl,559,931,0.22,2,4,3,1
ContactorSupportUrl,468,394,0.45,2,3,1,1
LoginUrl,5330,107,0.16,1,3,4,0
ContactorSupportUrl,4259,376,0.67,1,3,2,1
ErrorPageUrl,3469,127,0.32,2,3,2,1
SubpageUrl,6028,923,0.97,3,3,4,0
ErrorPageUrl,2768,283,0.92,2,1,2,1
LoginUrl,935,228,0.34,2,1,1,1
ProductUrl,2997,41,0.4,1,2,1,1
ProductUrl,2175,233,0.58,2,2,1,1
HomePageUrl,7948,182,0.7,2,4,4,0
SubpageUrl,6963,314,0.9,2,4,1,0
ErrorPageUrl,8966,321,0.12,3,3,1,0
LoginUrl,6195,748,0.39,1,3,4,0
ProductUrl,4450,827,0.79,2,1,3,1
HomePageUrl,2892,391,0.92,3,3,4,1
HomePageUrl,5873,327,0.33,3,1,2,0
SubpageUrl,804,26,0.51,2,1,3,1
ProductUrl,9432,839,0.57,3,3,2,0
ContactorSupportUrl,6877,217,0.19,1,2,2,0
HomePageUrl,34,640,0.43,2,1,4,1
HomePageUrl,4882,9,0.33,1,3,4,1
HomePageUrl,5938,709,0.82,2,4,1,0
ContactorSupportUrl,6764,730,0.48,3,4,4,0
ErrorPageUrl,3365,515,0.59,3,1,4,1
SubpageUrl,6504,736,0.13,3,2,1,0
ErrorPageUrl,2742,525,0.5,2,2,1,1
ErrorPageUrl,7636,972,0.1,3,4,4,0
ContactorSupportUrl,9784,639,0.59,1,4,3,0
HomePageUrl,3920,575,0.15,3,3,2,1
SubpageUrl,2239,544,0.17,2,3,2,1
ProductUrl,2210,312,0.57,1,3,4,1
LoginUrl,3705,330,0.78,1,1,1,1
HomePageUrl,3465,834,0.59,1,1,3,1
LoginUrl,606,877,0.28,2,1,4,1
ErrorPageUrl,595,274,0.87,2,1,3,1
HomePageUrl,2391,888,0.72,1,3,4,1
SubpageUrl,5516,163,0.41,2,1,4,0
ErrorPageUrl,7398,993,0.79,1,1,2,0
HomePageUrl,2849,534,0.2,3,2,2,1
HomePageUrl,1552,97,0.65,3,2,4,1
HomePageUrl,2715,735,0.11,3,3,4,1
HomePageUrl,1757,236,0.5,1,4,1,1
LoginUrl,2623,101,0.17,3,1,2,1
HomePageUrl,7957,331,0.78,3,1,3,0
HomePageUrl,1036,816,0.75,1,2,1,1
LoginUrl,1498,620,0.29,3,1,3,1
SubpageUrl,1664,892,0.9,3,1,4,1
ContactorSupportUrl,6777,13,0.55,2,2,2,0
LoginUrl,6648,809,0.3,1,1,3,0
ProductUrl,358,675,0.24,3,4,1,1
ErrorPageUrl,4561,94,0.19,2,1,3,1
LoginUrl,5912,196,0.28,1,4,2,0
ContactorSupportUrl,6842,253,0.85,1,3,2,0
ErrorPageUrl,3018,295,0.63,3,2,4,1
ProductUrl,1262,989,0.65,1,4,2,1
ProductUrl,1741,858,0.94,2,1,4,1
HomePageUrl,1855,190,0.84,2,1,2,1
ProductUrl,1019,447,0.62,1,2,3,1
LoginUrl,1740,307,0.32,2,2,2,1
ErrorPageUrl,9704,30,0.93,3,2,3,0
HomePageUrl,5248,545,0.15,2,1,3,0
LoginUrl,3462,629,0.26,3,1,2,1
SubpageUrl,95,757,0.95,2,3,2,1
ContactorSupportUrl,9127,938,0.26,2,1,4,0
ProductUrl,913,443,0.32,2,4,3,1
LoginUrl,3259,632,0.46,2,3,1,1
SubpageUrl,4702,58,0.84,3,1,4,1
HomePageUrl,6865,273,0.54,3,1,1,0
LoginUrl,5670,999,0.18,3,4,2,0
SubpageUrl,9723,969,0.61,2,2,1,0
HomePageUrl,4561,884,0.69,3,3,4,1
ContactorSupportUrl,3145,265,0.93,3,4,4,1
ContactorSupportUrl,6175,599,0.45,1,4,1,0
LoginUrl,144,846,0.44,1,1,2,1
ErrorPageUrl,1460,676,0.58,1,3,4,1
ErrorPageUrl,924,137,0.63,3,1,1,1
ContactorSupportUrl,6870,681,0.68,2,1,3,0
HomePageUrl,7188,356,0.14,3,4,3,0
ProductUrl,7715,719,0.38,1,1,2,0
ProductUrl,403,193,0.48,1,1,3,1
LoginUrl,9217,339,0.85,3,4,4,0
ErrorPageUrl,758,137,0.47,2,4,4,1
LoginUrl,6946,667,0.61,3,4,1,0
SubpageUrl,358,425,0.91,2,1,1,1
ProductUrl,2267,671,0.76,1,2,3,1
ContactorSupportUrl,8354,449,0.21,2,3,2,0
ErrorPageUrl,8301,115,0.1,3,1,2,0
LoginUrl,2836,890,0.27,3,3,3,1
ProductUrl,2808,51,0.24,2,3,3,1
LoginUrl,82,423,0.9,1,4,2,1
ErrorPageUrl,9754,944,0.39,2,3,4,0
ContactorSupportUrl,7394,917,0.45,1,3,3,0
HomePageUrl,9403,176,0.26,1,1,3,0
SubpageUrl,5188,136,0.32,2,2,1,1
SubpageUrl,4067,450,0.71,3,1,2,1
SubpageUrl,1121,32,0.47,2,1,3,1
HomePageUrl,9869,706,0.79,2,2,1,0
SubpageUrl,2893,946,0.18,1,2,2,1
LoginUrl,280,823,0.41,2,1,4,1
ProductUrl,1311,835,0.24,1,3,3,1
ContactorSupportUrl,6416,181,0.18,1,4,2,0
ContactorSupportUrl,9366,166,0.27,1,1,4,0
HomePageUrl,5472,113,0.67,1,2,2,0
LoginUrl,2655,475,0.43,2,1,1,1
ContactorSupportUrl,3984,303,0.48,3,4,1,1
ProductUrl,9653,756,0.56,1,4,2,0
LoginUrl,1121,567,0.66,2,2,3,1
SubpageUrl,5200,945,0.28,3,2,3,0
SubpageUrl,8301,496,0.66,2,2,3,0
ProductUrl,7044,691,0.93,1,1,3,0
HomePageUrl,3745,654,0.63,1,3,4,1
LoginUrl,5022,132,0.94,3,1,1,1
ContactorSupportUrl,7855,213,0.98,3,4,1,0
LoginUrl,9794,787,0.61,3,4,4,0
LoginUrl,5862,791,0.87,2,3,2,0
ErrorPageUrl,9478,123,0.74,3,2,4,0
SubpageUrl,6530,288,0.69,2,3,4,0
SubpageUrl,7864,101,0.6,2,2,2,0
ContactorSupportUrl,4067,107,0.69,2,3,4,1
ErrorPageUrl,8021,61,0.83,1,1,3,0
HomePageUrl,5527,242,0.77,2,3,1,0
LoginUrl,3226,344,0.63,3,3,3,1
HomePageUrl,1027,503,0.91,2,3,2,1
LoginUrl,3298,615,0.43,2,4,2,1
LoginUrl,7534,345,0.84,2,3,1,0
ProductUrl,8656,62,0.2,3,1,1,0
HomePageUrl,8914,135,0.53,3,1,3,0
HomePageUrl,7320,130,0.67,2,3,3,0
ErrorPageUrl,2970,639,0.66,2,1,2,1
ErrorPageUrl,4609,875,0.77,1,4,2,1
SubpageUrl,2629,205,0.98,2,4,4,1
